name,year,paper title,co-authors,gender,Morrocan affiliation 
Yoshua Bengio,2019,Gradient based sample selection for online continual learning,"Rahaf Aljundi, Min Lin, Baptiste Goujaud",male,no
Yoshua Bengio,2019,"Non-normal Recurrent Neural Network (nnRNN): learning long time dependencies while improving
 expressivity with transient dynamics","Giancarlo Kerg, Kyle Goyette, Maximilian Puelma Touzel, Gauthier Gidel,
 Eugene Vorontsov, Guillaume Lajoie",male,no
Yoshua Bengio,2019,MelGAN: Generative Adversarial Networks for Conditional Waveform Synthesis ,"Kundan Kumar, Rithesh Kumar, Thibault de Boissiere, Lucas Gestin, Wei Zhen 
Teoh, Jose Sotelo, Alexandre de Brébisson, Aaron C. Courville",male,no
Yoshua Bengio,2019,Wasserstein Dependency Measure for Representation Learning ,"Sherjil Ozair, Corey Lynch,, Aaron van den Oord, Sergey Levine,
 Pierre Sermanet",male,no
Yoshua Bengio,2018,Image-to-image translation for cross-domain disentanglement ,"Abel Gonzalez-Garcia, Joost van de Weijer",male,no
Yoshua Bengio,2018,MetaGAN: An Adversarial Approach to Few-Shot Learning,"Ruixiang ZHANG, Tong Che, Zoubin Ghahramani, Yangqiu Song",male,no
Yoshua Bengio,2018,Bayesian Model-Agnostic Meta-Learning ,"Jaesik Yoon, Taesup Kim, Ousmane Dia, Sungwoong Kim, Sungjin Ahn",male,no
Yoshua Bengio,2018,Sparse Attentive Backtracking: Temporal Credit Assignment Through Reminding ,"Nan Rosemary Ke, Anirudh Goyal ALIAS PARTH GOYAL, Olexa Bilaniuk, Jonathan
 Binas, Michael C. Mozer, Chris Pal,",male,no
Yoshua Bengio,2018,Dendritic cortical microcircuits approximate the backpropagation algorithm,"João Sacramento, Rui Ponte Costa,Walter Senn",male,no
Yoshua Bengio,2017,Variational Walkback: Learning a Transition Operator as a Stochastic Recurrent Net,"Anirudh Goyal ALIAS PARTH GOYAL, Nan Rosemary Ke, Surya Ganguli",male,no
Yoshua Bengio,2017,GibbsNet: Iterative Adversarial Inference for Deep Graphical Models ,"Alex M. Lamb, Devon Hjelm, Yaroslav Ganin, Joseph Paul Cohen, 
Aaron C. Courville",male,no
Yoshua Bengio,2017,"Plan, Attend, Generate: Planning for Sequence-to-Sequence Models","Caglar Gulcehre, Francis Dutil, Adam Trischler",male,no
Yoshua Bengio,2017,Z-Forcing: Training Stochastic Recurrent Networks ,"Anirudh Goyal ALIAS PARTH GOYAL, Alessandro Sordoni, Marc-Alexandre Côté, 
Nan Rosemary Ke",male,no
Yoshua Bengio,2016,Architectural Complexity Measures of Recurrent Neural Networks,"Saizheng Zhang, Yuhuai Wu, Tong Che, Zhouhan Lin, Roland Memisevic, Russ R
.Salakhutdinov,",male,no
Yoshua Bengio,2016,On Multiplicative Integration with Recurrent Neural Networks ,"Yuhuai Wu, Saizheng Zhang, Ying Zhang,Russ R. Salakhutdinov",male,no
Yoshua Bengio,2016,Binarized Neural Networks,"Itay Hubara, Matthieu Courbariaux, Daniel Soudry, Ran El-Yaniv,",male,no
Yoshua Bengio,2016,Professor Forcing: A New Algorithm for Training Recurrent Networks ,"Alex M. Lamb, Anirudh Goyal ALIAS PARTH GOYAL, Ying Zhang, Saizheng Zhang,
 Aaron C. Courville",male,no
Yoshua Bengio,2015, Attention-Based Models for Speech Recognition ,"Jan K. Chorowski, Dzmitry Bahdanau, Dmitriy Serdyuk, Kyunghyun Cho, ",male,no
Yoshua Bengio,2015, Equilibrated adaptive learning rates for non-convex optimization ,"Yann Dauphin, Harm de Vries,",male,no
Yoshua Bengio,2015, A Recurrent Latent Variable Model for Sequential Data,"Junyoung Chung, Kyle Kastner, Laurent Dinh, Kratarth Goel, Aaron C. Courville",male,no
Yoshua Bengio,2015,BinaryConnect: Training Deep Neural Networks with binary weights during propagations ,"Matthieu Courbariaux, Jean-Pierre David",male,no
Yoshua Bengio,2014, Iterative Neural Autoregressive Distribution Estimator NADE-k ,"Tapani Raiko, Yao Li, Kyunghyun Cho,",male,no
Yoshua Bengio,2014,Generative Adversarial Nets ,"Ian Goodfellow, Jean Pouget-Abadie, Mehdi Mirza, Bing Xu, David Warde-Farley,
 Sherjil Ozair, Aaron Courville",male,no
Yoshua Bengio,2014,On the Number of Linear Regions of Deep Neural Networks ,"Guido F. Montufar, Razvan Pascanu, Kyunghyun Cho, ",male,no
